# 商品图片映射文件
# 格式: product_id | category | keyword | main_image | detail_images
# ============================================================

78|手机数码|iPhone 15 Pro|手机数码_cat01_prod001_iPhone_15_Pro_kus2c32y.jpg|手机数码_cat01_prod010_小米14_crfzcodi.jpg,手机数码_cat01_prod011_华为Mate_60_sjbdolqo.jpg,手机数码_cat01_prod012_Samsung_Galaxy_S24_ysm6rswa.jpg
79|手机数码|小米14|手机数码_cat01_prod002_小米14_ywt98pju.jpg|手机数码_cat01_prod020_华为Mate_60_4nbsfaa0.jpg,手机数码_cat01_prod021_Samsung_Galaxy_S24_ha5emuum.jpg,手机数码_cat01_prod022_iPad_Pro_fp9qm7if.jpg
80|手机数码|华为Mate 60|手机数码_cat01_prod003_华为Mate_60_3umd03ae.jpg|手机数码_cat01_prod030_Samsung_Galaxy_S24_v5mp6cnp.jpg,手机数码_cat01_prod031_iPad_Pro_7bp1h71n.jpg,手机数码_cat01_prod032_MacBook_Pro_cef4onzk.jpg
81|手机数码|Samsung Galaxy S24|手机数码_cat01_prod004_Samsung_Galaxy_S24_uasupvmv.jpg|手机数码_cat01_prod040_iPad_Pro_7z010z83.jpg,手机数码_cat01_prod041_MacBook_Pro_hihbizdq.jpg
82|手机数码|iPad Pro|手机数码_cat01_prod005_iPad_Pro_god0ale3.jpg|手机数码_cat01_prod050_MacBook_Pro_obtyg5b9.jpg,手机数码_cat01_prod051_AirPods_Pro_83x67z99.jpg
83|手机数码|MacBook Pro|手机数码_cat01_prod006_MacBook_Pro_b910zrsj.jpg|手机数码_cat01_prod060_AirPods_Pro_vwwkz8ri.jpg,手机数码_cat01_prod061_Apple_Watch_9vjy4qck.jpg,手机数码_cat01_prod062_iPhone_15_Pro_0wlwe015.jpg
84|手机数码|AirPods Pro|手机数码_cat01_prod007_AirPods_Pro_d2xr13rt.jpg|手机数码_cat01_prod070_Apple_Watch_q2sva3nh.jpg,手机数码_cat01_prod071_iPhone_15_Pro_b1n1n8vh.jpg
85|手机数码|Apple Watch|手机数码_cat01_prod008_Apple_Watch_ma1awhu2.jpg|手机数码_cat01_prod080_iPhone_15_Pro_xwpum901.jpg,手机数码_cat01_prod081_小米14_4ovphs0h.jpg,手机数码_cat01_prod082_华为Mate_60_aefba3e2.jpg
86|美妆护肤|Dior 口红|美妆护肤_cat02_prod001_Dior_口红_rfgmdvu6.jpg|美妆护肤_cat02_prod010_Chanel_香水_8e99l99g.jpg,美妆护肤_cat02_prod011_SK-II_神仙水_58fsm02n.jpg,美妆护肤_cat02_prod012_LOreal_粉底_91ahks11.jpg
87|美妆护肤|Chanel 香水|美妆护肤_cat02_prod002_Chanel_香水_4110q2vw.jpg|美妆护肤_cat02_prod020_SK-II_神仙水_992u2vec.jpg,美妆护肤_cat02_prod021_LOreal_粉底_fuma3aw7.jpg,美妆护肤_cat02_prod022_Dior_口红_3cf3cbaa.jpg
